"M2"	"M21"	"M5"	"M24"	"M3"	"M18"	"M23"	"M13"	"M16"	"M10"	"M6"	"M8"	"M14"	"M15"	"M11"	"M1"	"M22"	"M26"	"Sample"	"Isolate"	"DPI"	"Stage"	"Replicate"
"Zt09_Ta_B_01"	-0.13146747522142	-0.102899824705933	-0.0215858401642076	0.0488442020197122	0.123707891574655	0.140301671402705	0.0488509966074824	-0.00145138235355177	0.0872551594275152	-0.00499287195137168	0.00958325385022102	0.0672801518991262	0.0595843332038508	0.0439379631811879	-0.0322086233987699	0.0562237330936997	0.111300466245212	0.0577933254831685	"Zt09_B_01"	"Zt09"	9	"B"	1
"Zt09_Ta_B_02"	-0.150420287548803	-0.109783310987263	-0.00575480565030716	0.0563958573701699	0.153249118089277	0.162106140593567	0.0562483153122774	-0.0178586073076118	0.108394283586001	0.0132869485118896	0.0260679141100652	0.0911964335904087	0.0791386050919046	0.0659247514572466	-0.0472311126062788	0.0248487018640405	0.1297623959042	0.0695954040094001	"Zt09_B_02"	"Zt09"	9	"B"	2
"Zt09_Ta_C_01"	-0.0775390549464122	-0.0378802688121678	0.0878372356912151	0.0674948997378633	0.154126903181715	0.0949126568760661	0.0889427775157392	0.16584398595999	0.104301930917713	0.0314689725606829	0.0569431455744095	0.102726370709176	0.0821350292439342	0.0866381091991954	-0.132615821765925	0.028684797636575	0.0910482790159372	-0.0249932916396423	"Zt09_C_01"	"Zt09"	15	"C"	1
"Zt09_Ta_C_02"	-0.0752366838531201	-0.0237109795610276	0.0899316171166871	0.0638763681880246	0.148189711925727	0.0983986826791726	0.0841188060454341	0.155848137763854	0.102162792355573	0.0229072847343452	0.0511795081149282	0.0952279383414777	0.0758432109136401	0.0779916096493309	-0.115317229094512	0.012130642762866	0.0913160877652185	-0.0340107288099586	"Zt09_C_02"	"Zt09"	15	"C"	2
"Zt09_Ta_D_01"	-0.126488112872392	0.036378063678193	0.15525479979706	0.0708382092011798	0.178428063359204	0.145315382796856	0.0865077549993335	0.0367294428448674	0.0677978457870418	0.048550936617018	0.0467251987316327	0.0872672580137495	0.0913641934041449	0.082394603992854	-0.00887378069817043	-0.0997662925678661	0.0294313563202665	-0.0229701552176461	"Zt09_D_01"	"Zt09"	17	"D"	1
"Zt09_Ta_D_02"	-0.0847952131032089	0.0703303843568853	0.139085763443094	0.0511007190364469	0.135241387985791	0.128880490760643	0.0651359570339364	-0.00464742440749388	0.0237380989112247	0.0249441264654646	0.0138119854894135	0.0493261266459031	0.0670332494350846	0.0447201463114379	0.0224797421277904	-0.128248519910046	0.00164722196619158	-0.0349548588982704	"Zt09_D_02"	"Zt09"	17	"D"	2
"Zt10_Ta_A_01"	-0.159514949914673	-0.135596544273686	-0.0104523068653632	0.0686181021615352	0.173206563040908	0.179911270330603	0.0636616239133075	-0.0754865589466535	0.144890317353532	0.0254297834479225	0.0674243949124127	0.121333635926994	0.101509994170096	0.0919064523793125	-0.0636818555716692	-0.0986273128389085	0.185831237052118	0.0765340465971564	"Zt10_A_01"	"Zt10"	5	"A"	1
"Zt10_Ta_A_02"	-0.172320077539543	-0.117741803215722	-0.0152210072484503	0.0572669693498933	0.149604258411801	0.17438585519602	0.0486473395655786	-0.12101487816134	0.104449492006061	0.00943100110357653	0.0422070156073477	0.0895676412930242	0.0839082984686149	0.0660520606381407	-0.030454241159202	-0.143737484853817	0.15145417347561	0.0668878267229849	"Zt10_A_02"	"Zt10"	5	"A"	2
"Zt10_Ta_B_01"	-0.194579098093983	-0.087738273000006	0.0256315284487118	0.0699137786711318	0.175823997388753	0.171692965492148	0.0704941813004877	-0.0819783202369744	0.109987808794584	0.0449741846432844	0.0535587521200428	0.113293733650476	0.094188636353487	0.0947410262776411	-0.0417888126527086	-0.105435473117549	0.123159412196174	0.0317029333831687	"Zt10_B_01"	"Zt10"	11	"B"	1
"Zt10_Ta_B_02"	-0.162664175198288	-0.0870383538797146	0.0120063304451413	0.064476414611539	0.159030171272278	0.170400531547561	0.058908348497976	-0.051442277935145	0.0998004342383668	0.0207615756316272	0.0424778077232842	0.0922504236943996	0.0870938006715338	0.0736696525571251	-0.0361499351279151	-0.0754826460961553	0.130325560276816	0.0411724109512455	"Zt10_B_02"	"Zt10"	11	"B"	2
