"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","moduleColour","moduleNumber"
"GO:0030684","preribosome","7/205","23/2603",0.00139719234549618,0.0167663081459541,0.0151274960715375,"MYCGRDRAFT_101428/MYCGRDRAFT_91439/MYCGRDRAFT_56835/MYCGRDRAFT_40901/MYCGRDRAFT_71900/MYCGRDRAFT_74360/MYCGRDRAFT_87034",7,"turquoise","M1"
"GO:0005874","microtubule","7/208","22/2603",0.00113525576851296,0.0445454103168637,0.0416799160859544,"MYCGRDRAFT_83356/spc98/MYCGRDRAFT_65760/MYCGRDRAFT_101448/spc97/MYCGRDRAFT_68104/MYCGRDRAFT_70402",7,"midnightblue","M15"
"GO:0099081","supramolecular polymer","7/208","23/2603",0.00152292001083295,0.0445454103168637,0.0416799160859544,"MYCGRDRAFT_83356/spc98/MYCGRDRAFT_65760/MYCGRDRAFT_101448/spc97/MYCGRDRAFT_68104/MYCGRDRAFT_70402",7,"midnightblue","M15"
"GO:0099512","supramolecular fiber","7/208","23/2603",0.00152292001083295,0.0445454103168637,0.0416799160859544,"MYCGRDRAFT_83356/spc98/MYCGRDRAFT_65760/MYCGRDRAFT_101448/spc97/MYCGRDRAFT_68104/MYCGRDRAFT_70402",7,"midnightblue","M15"
"GO:0099513","polymeric cytoskeletal fiber","7/208","23/2603",0.00152292001083295,0.0445454103168637,0.0416799160859544,"MYCGRDRAFT_83356/spc98/MYCGRDRAFT_65760/MYCGRDRAFT_101448/spc97/MYCGRDRAFT_68104/MYCGRDRAFT_70402",7,"midnightblue","M15"
"GO:0099080","supramolecular complex","9/208","37/2603",0.00192276814188859,0.044992774520193,0.0420985024750344,"MYCGRDRAFT_83356/spc98/MYCGRDRAFT_65760/MYCGRDRAFT_101448/spc97/MYCGRDRAFT_68104/MYCGRDRAFT_107966/MYCGRDRAFT_68633/MYCGRDRAFT_70402",9,"midnightblue","M15"
"GO:0005741","mitochondrial outer membrane","4/37","17/2603",7.21323470985778e-05,0.00201970571876018,0.00167043330123022,"MYCGRDRAFT_33027/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",4,"darkred","M21"
"GO:0031968","organelle outer membrane","4/37","17/2603",7.21323470985778e-05,0.00201970571876018,0.00167043330123022,"MYCGRDRAFT_33027/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",4,"darkred","M21"
"GO:0019867","outer membrane","4/37","19/2603",0.000115102006700313,0.00214857079173918,0.00177701343677676,"MYCGRDRAFT_33027/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",4,"darkred","M21"
"GO:0031966","mitochondrial membrane","7/37","122/2603",0.00133000761293925,0.0186201065811496,0.0154000881498229,"MYCGRDRAFT_33027/MYCGRDRAFT_77698/MYCGRDRAFT_36264/MYCGRDRAFT_108192/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",7,"darkred","M21"
"GO:0005740","mitochondrial envelope","7/37","130/2603",0.00193082088761027,0.021625193941235,0.0178854987483898,"MYCGRDRAFT_33027/MYCGRDRAFT_77698/MYCGRDRAFT_36264/MYCGRDRAFT_108192/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",7,"darkred","M21"
"GO:0098588","bounding membrane of organelle","6/37","113/2603",0.00452362987189478,0.033810151835631,0.0279632834730783,"MYCGRDRAFT_33027/MYCGRDRAFT_54755/MYCGRDRAFT_108192/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",6,"darkred","M21"
"GO:0031967","organelle envelope","7/37","153/2603",0.00487846376258797,0.033810151835631,0.0279632834730783,"MYCGRDRAFT_33027/MYCGRDRAFT_77698/MYCGRDRAFT_36264/MYCGRDRAFT_108192/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",7,"darkred","M21"
"GO:0031975","envelope","7/37","153/2603",0.00487846376258797,0.033810151835631,0.0279632834730783,"MYCGRDRAFT_33027/MYCGRDRAFT_77698/MYCGRDRAFT_36264/MYCGRDRAFT_108192/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_18895",7,"darkred","M21"
"GO:0005739","mitochondrion","9/37","242/2603",0.00543377440215499,0.033810151835631,0.0279632834730783,"MYCGRDRAFT_33027/MYCGRDRAFT_77698/MYCGRDRAFT_36264/MYCGRDRAFT_108192/MYCGRDRAFT_70216/MYCGRDRAFT_70871/MYCGRDRAFT_75239/MYCGRDRAFT_110654/MYCGRDRAFT_18895",9,"darkred","M21"
"GO:0005840","ribosome","74/278","105/2603",2.48540466341512e-51,3.05704773600059e-49,2.43308035471164e-49,"MYCGRDRAFT_102005/MYCGRDRAFT_102027/MYCGRDRAFT_98180/MYCGRDRAFT_78124/MYCGRDRAFT_89043/MYCGRDRAFT_102197/MYCGRDRAFT_34437/MYCGRDRAFT_102281/MYCGRDRAFT_78410/MYCGRDRAFT_98428/MYCGRDRAFT_102365/MYCGRDRAFT_102406/MYCGRDRAFT_83768/MYCGRDRAFT_66222/MYCGRDRAFT_53300/MYCGRDRAFT_66529/MYCGRDRAFT_31968/MYCGRDRAFT_102737/MYCGRDRAFT_102740/MYCGRDRAFT_67117/MYCGRDRAFT_102848/MYCGRDRAFT_102881/MYCGRDRAFT_102922/MYCGRDRAFT_98880/MYCGRDRAFT_105843/MYCGRDRAFT_101774/MYCGRDRAFT_101782/MYCGRDRAFT_106407/MYCGRDRAFT_50274/MYCGRDRAFT_106485/MYCGRDRAFT_106489/MYCGRDRAFT_77845/MYCGRDRAFT_106533/MYCGRDRAFT_67867/MYCGRDRAFT_103162/MYCGRDRAFT_99059/MYCGRDRAFT_99159/MYCGRDRAFT_103329/MYCGRDRAFT_103339/MYCGRDRAFT_68767/MYCGRDRAFT_55708/MYCGRDRAFT_103406/MYCGRDRAFT_103449/MYCGRDRAFT_39804/MYCGRDRAFT_103683/MYCGRDRAFT_56675/MYCGRDRAFT_85212/MYCGRDRAFT_69992/MYCGRDRAFT_103824/MYCGRDRAFT_108724/MYCGRDRAFT_39509/MYCGRDRAFT_57354/MYCGRDRAFT_70471/MYCGRDRAFT_104028/MYCGRDRAFT_104063/MYCGRDRAFT_104155/MYCGRDRAFT_80478/MYCGRDRAFT_104297/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_104624/MYCGRDRAFT_104664/MYCGRDRAFT_80995/MYCGRDRAFT_27796/MYCGRDRAFT_74418/MYCGRDRAFT_74429/MYCGRDRAFT_105388/MYCGRDRAFT_74750/MYCGRDRAFT_105463/MYCGRDRAFT_100974/MYCGRDRAFT_105557/MYCGRDRAFT_105646/MYCGRDRAFT_28593/MYCGRDRAFT_62534",74,"blue","M2"
"GO:0044391","ribosomal subunit","27/278","36/2603",7.10012759424693e-20,4.36657847046186e-18,3.47532561192087e-18,"MYCGRDRAFT_102197/MYCGRDRAFT_98428/MYCGRDRAFT_102365/MYCGRDRAFT_102406/MYCGRDRAFT_83768/MYCGRDRAFT_66529/MYCGRDRAFT_31968/MYCGRDRAFT_102737/MYCGRDRAFT_98880/MYCGRDRAFT_101782/MYCGRDRAFT_106533/MYCGRDRAFT_99059/MYCGRDRAFT_103329/MYCGRDRAFT_103339/MYCGRDRAFT_39804/MYCGRDRAFT_103683/MYCGRDRAFT_56675/MYCGRDRAFT_108724/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_104664/MYCGRDRAFT_80995/MYCGRDRAFT_105463/MYCGRDRAFT_105557/MYCGRDRAFT_105646/MYCGRDRAFT_28593/MYCGRDRAFT_62534",27,"blue","M2"
"GO:0043228","non-membrane-bounded organelle","86/278","319/2603",6.27747307202996e-19,1.93032296964921e-17,1.53632893604944e-17,"MYCGRDRAFT_102005/MYCGRDRAFT_102027/MYCGRDRAFT_98180/MYCGRDRAFT_78124/MYCGRDRAFT_102127/MYCGRDRAFT_89043/MYCGRDRAFT_102197/MYCGRDRAFT_34437/MYCGRDRAFT_102281/MYCGRDRAFT_78410/MYCGRDRAFT_98428/MYCGRDRAFT_102365/MYCGRDRAFT_102384/MYCGRDRAFT_102406/MYCGRDRAFT_83768/MYCGRDRAFT_66222/MYCGRDRAFT_53300/MYCGRDRAFT_32304/MYCGRDRAFT_66529/MYCGRDRAFT_31968/MYCGRDRAFT_102737/MYCGRDRAFT_102740/MYCGRDRAFT_78914/MYCGRDRAFT_67117/MYCGRDRAFT_102848/MYCGRDRAFT_102881/MYCGRDRAFT_31905/MYCGRDRAFT_102922/MYCGRDRAFT_98880/MYCGRDRAFT_105843/ACT/MYCGRDRAFT_101774/MYCGRDRAFT_101782/MYCGRDRAFT_106407/MYCGRDRAFT_50274/MYCGRDRAFT_106485/MYCGRDRAFT_106489/MYCGRDRAFT_77845/MYCGRDRAFT_106533/MYCGRDRAFT_67867/MYCGRDRAFT_54826/MYCGRDRAFT_103162/MYCGRDRAFT_99059/MYCGRDRAFT_99145/MYCGRDRAFT_99159/MYCGRDRAFT_103329/MYCGRDRAFT_103339/MYCGRDRAFT_68767/MYCGRDRAFT_55708/MYCGRDRAFT_103406/MYCGRDRAFT_103449/MYCGRDRAFT_39804/MYCGRDRAFT_103683/MYCGRDRAFT_56675/MYCGRDRAFT_85212/MYCGRDRAFT_69992/MYCGRDRAFT_103824/MYCGRDRAFT_108724/MYCGRDRAFT_39509/MYCGRDRAFT_57354/MYCGRDRAFT_70471/MYCGRDRAFT_104028/MYCGRDRAFT_104063/MYCGRDRAFT_80351/MYCGRDRAFT_104155/MYCGRDRAFT_80478/MYCGRDRAFT_104297/MYCGRDRAFT_104360/MYCGRDRAFT_42422/MYCGRDRAFT_104579/MYCGRDRAFT_104624/MYCGRDRAFT_104664/MYCGRDRAFT_80995/MYCGRDRAFT_27796/MYCGRDRAFT_74418/MYCGRDRAFT_74429/MYCGRDRAFT_105388/MYCGRDRAFT_74750/MYCGRDRAFT_105463/MYCGRDRAFT_100974/MYCGRDRAFT_105557/MYCGRDRAFT_105646/MYCGRDRAFT_28593/MYCGRDRAFT_47713/MYCGRDRAFT_75672/MYCGRDRAFT_62534",86,"blue","M2"
